file_id,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,responses,question_order,cue
data_2025-01-17-00-24-00.803527_lj76leeztt,"[{""page_index"":0,""viewing_time"":1100.5999999996275},{""page_index"":1,""viewing_time"":33640.20000000112},{""page_index"":0,""viewing_time"":418.90000000037253},{""page_index"":1,""viewing_time"":5665.799999998882},{""page_index"":2,""viewing_time"":735.0999999996275},{""page_index"":1,""viewing_time"":937.6000000014901},{""page_index"":2,""viewing_time"":2567.699999999255},{""page_index"":3,""viewing_time"":726}]",45792.300000000745,instructions,0,45795,0.0-0.0-0.0,NA,NA,NA
data_2025-01-17-00-24-00.803527_lj76leeztt,NA,6975.700000001118,survey-multi-choice,1,53276,0.0-0.0-1.0,"{""gender"":""Nonbinary"",""ethnicity"":""Malay"",""sge_speaker"":""Yes""}","[0,1,2]",NA
data_2025-01-17-00-24-00.803527_lj76leeztt,NA,5885.4000000003725,survey-text,2,59169,0.0-0.0-2.0,"{""age"":""56"",""other_languages"":""none""}",NA,NA
data_2025-01-17-00-24-00.803527_lj76leeztt,NA,12054.599999999627,survey-text,3,71227,0.0-0.0-3.0-0.0,"{""Q0"":""dk"",""Q1"":"""",""Q2"":""""}",NA,lagi
data_2025-01-17-00-24-00.803527_lj76leeztt,NA,25084.400000000373,survey-text,4,96316,0.0-0.0-3.0-0.1,"{""Q0"":""wah piang"",""Q1"":"""",""Q2"":""""}",NA,wah lau
data_2025-01-17-00-24-00.803527_lj76leeztt,NA,7107.39999999851,survey-text,5,103426,0.0-0.0-3.0-0.2,"{""Q0"":""dk"",""Q1"":""kj"",""Q2"":""""}",NA,kilat
data_2025-01-17-00-24-00.803527_lj76leeztt,NA,6329.9000000003725,survey-text,6,109758,0.0-0.0-3.0-0.3,"{""Q0"":""look down"",""Q1"":"""",""Q2"":""""}",NA,see me no up
data_2025-01-17-00-24-00.803527_lj76leeztt,NA,4905.199999999255,survey-text,7,114666,0.0-0.0-3.0-0.4,"{""Q0"":""siao"",""Q1"":"""",""Q2"":""""}",NA,sian
data_2025-01-17-00-24-00.803527_lj76leeztt,NA,9373.39999999851,survey-text,8,124043,0.0-0.0-3.0-0.5,"{""Q0"":""takeaway"",""Q1"":"""",""Q2"":""""}",NA,dapao
data_2025-01-17-00-24-00.803527_lj76leeztt,NA,3276.2000000011176,survey-text,9,127323,0.0-0.0-3.0-0.6,"{""Q0"":""kk"",""Q1"":"""",""Q2"":""""}",NA,agak agak
data_2025-01-17-00-24-00.803527_lj76leeztt,NA,2625.300000000745,survey-text,10,129950,0.0-0.0-3.0-0.7,"{""Q0"":""kk"",""Q1"":"""",""Q2"":""""}",NA,mafan
data_2025-01-17-00-24-00.803527_lj76leeztt,NA,2500.9000000003725,survey-text,11,132453,0.0-0.0-3.0-0.8,"{""Q0"":""kk"",""Q1"":"""",""Q2"":""""}",NA,shiok
data_2025-01-17-00-24-00.803527_lj76leeztt,NA,3410.699999999255,survey-text,12,135866,0.0-0.0-3.0-0.9,"{""Q0"":""kk"",""Q1"":"""",""Q2"":""""}",NA,makan
data_2025-01-17-00-24-00.803527_lj76leeztt,"[{""page_index"":0,""viewing_time"":36992.40000000037}]",36992.59999999963,instructions,13,172860,0.0-0.0-4.0,NA,NA,NA
