file_id,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,responses,question_order,cue
data_2025-02-07-13-36-44.573026_5p7452c24a,"[{""page_index"":0,""viewing_time"":3522.7999999998137},{""page_index"":1,""viewing_time"":1511.2999999998137}]",5034.4000000003725,instructions,0,5036,0.0-0.0-0.0,NA,NA,NA
data_2025-02-07-13-36-44.573026_5p7452c24a,NA,10563.700000000186,survey-multi-choice,1,16101,0.0-0.0-1.0,"{""gender"":""Male"",""ethnicity"":""Chinese"",""sge_speaker"":""Yes"",""sg_birth"":""Yes"",""sg_resident"":""Yes""}","[0,1,2,3,4]",NA
data_2025-02-07-13-36-44.573026_5p7452c24a,NA,46604.60000000056,survey-text,2,62708,0.0-0.0-2.0,"{""age"":""32"",""sg_yrs"":""32"",""other_languages"":""none""}",NA,NA
data_2025-02-07-13-36-44.573026_5p7452c24a,"[{""page_index"":0,""viewing_time"":12957.100000000559},{""page_index"":1,""viewing_time"":4435.899999999441}]",17393.200000000186,instructions,3,80102,0.0-0.0-3.0,NA,NA,NA
data_2025-02-07-13-36-44.573026_5p7452c24a,NA,9711.89999999944,survey-text,4,90316,0.0-0.0-4.0-0.0,"{""Q0"":""dk"",""Q1"":"""",""Q2"":""""}",NA,shiok
data_2025-02-07-13-36-44.573026_5p7452c24a,NA,4579.699999999255,survey-text,5,94897,0.0-0.0-4.0-0.1,"{""Q0"":""dk"",""Q1"":"""",""Q2"":""""}",NA,dapao
data_2025-02-07-13-36-44.573026_5p7452c24a,NA,3806.600000000559,survey-text,6,98705,0.0-0.0-4.0-0.2,"{""Q0"":""dk"",""Q1"":"""",""Q2"":""""}",NA,lagi
data_2025-02-07-13-36-44.573026_5p7452c24a,NA,3540.5,survey-text,7,102247,0.0-0.0-4.0-0.3,"{""Q0"":""dk"",""Q1"":"""",""Q2"":""""}",NA,agak agak
data_2025-02-07-13-36-44.573026_5p7452c24a,NA,3172,survey-text,8,105420,0.0-0.0-4.0-0.4,"{""Q0"":""dk"",""Q1"":"""",""Q2"":""""}",NA,mafan
data_2025-02-07-13-36-44.573026_5p7452c24a,NA,3431.7000000001863,survey-text,9,108852,0.0-0.0-4.0-0.5,"{""Q0"":""dk"",""Q1"":"""",""Q2"":""""}",NA,wah lau
data_2025-02-07-13-36-44.573026_5p7452c24a,NA,3610.5,survey-text,10,112464,0.0-0.0-4.0-0.6,"{""Q0"":""dk"",""Q1"":"""",""Q2"":""""}",NA,makan
data_2025-02-07-13-36-44.573026_5p7452c24a,NA,3951.7000000001863,survey-text,11,116417,0.0-0.0-4.0-0.7,"{""Q0"":""tired"",""Q1"":"""",""Q2"":""""}",NA,sian
data_2025-02-07-13-36-44.573026_5p7452c24a,NA,4527.4000000003725,survey-text,12,120946,0.0-0.0-4.0-0.8,"{""Q0"":""look down"",""Q1"":"""",""Q2"":""""}",NA,see me no up
data_2025-02-07-13-36-44.573026_5p7452c24a,NA,3297.5,survey-text,13,124244,0.0-0.0-4.0-0.9,"{""Q0"":""strong"",""Q1"":"""",""Q2"":""""}",NA,kilat
data_2025-02-07-13-36-44.573026_5p7452c24a,"[{""page_index"":0,""viewing_time"":3918.699999999255}]",3918.7999999998137,instructions,14,128163,0.0-0.0-5.0,NA,NA,NA
