"","cue","prevalence_all","cue_corrected","nw","stimulus"
"1","X4D",0.973953488372093,"4D",1,"<h2>4D</h2>"
"2","actblur",0.970232558139535,"act blur",2,"<h2>act blur</h2>"
"3","actcute",0.952558139534884,"act cute",2,"<h2>act cute</h2>"
"4","action",0.917209302325581,"action",1,"<h2>action</h2>"
"5","agakagak",0.923720930232558,"agak agak",2,"<h2>agak agak</h2>"
"6","ahbeng",0.975813953488372,"ah beng",2,"<h2>ah beng</h2>"
"7","ahlian",0.952558139534884,"ah lian",2,"<h2>ah lian</h2>"
"8","ahlong",0.973023255813953,"ah long",2,"<h2>ah long</h2>"
"9","aiyah",0.936744186046512,"aiyah",1,"<h2>aiyah</h2>"
"10","alamak",0.967441860465116,"alamak",1,"<h2>alamak</h2>"
"11","angmoh",0.986976744186047,"ang moh",2,"<h2>ang moh</h2>"
"12","angpow",0.98046511627907,"angpow",1,"<h2>angpow</h2>"
"13","atas",0.966511627906977,"atas",1,"<h2>atas</h2>"
"14","bagus",0.947906976744186,"bagus",1,"<h2>bagus</h2>"
"15","balikkampong",0.937674418604651,"balik kampong",2,"<h2>balik kampong</h2>"
"16","barangbarang",0.945116279069767,"barang barang",2,"<h2>barang barang</h2>"
"17","basket",0.906046511627907,"basket",1,"<h2>basket</h2>"
"18","bobian",0.949767441860465,"bo bian",2,"<h2>bo bian</h2>"
"19","bochap",0.963720930232558,"bochap",1,"<h2>bochap</h2>"
"20","bojio",0.908837209302326,"bojio",1,"<h2>bojio</h2>"
"21","boliao",0.946046511627907,"boliao",1,"<h2>boliao</h2>"
"22","bodoh",0.951627906976744,"bodoh",1,"<h2>bodoh</h2>"
"23","boleh",0.949767441860465,"boleh",1,"<h2>boleh</h2>"
"24","botak",0.981395348837209,"botak",1,"<h2>botak</h2>"
"25","buaysong",0.908837209302326,"buay song",2,"<h2>buay song</h2>"
"26","buaysteady",0.936744186046512,"buay steady",2,"<h2>buay steady</h2>"
"27","buaytahan",0.974883720930233,"buay tahan",2,"<h2>buay tahan</h2>"
"28","cheekopek",0.934883720930233,"cheekopek",1,"<h2>cheekopek</h2>"
"29","cheem",0.910697674418605,"cheem",1,"<h2>cheem</h2>"
"30","chinchai",0.971162790697674,"chin chai",2,"<h2>chin chai</h2>"
"31","chiobu",0.928372093023256,"chiobu",1,"<h2>chiobu</h2>"
"32","chiong",0.956279069767442,"chiong",1,"<h2>chiong</h2>"
"33","chopchop",0.943255813953488,"chop chop",2,"<h2>chop chop</h2>"
"34","chope",0.961860465116279,"chope",1,"<h2>chope</h2>"
"35","dabao",0.977674418604651,"dabao",1,"<h2>dabao</h2>"
"36","diam",0.961860465116279,"diam",1,"<h2>diam</h2>"
"37","doubleconfirm",0.975813953488372,"double confirm",2,"<h2>double confirm</h2>"
"38","encik",0.935813953488372,"encik",1,"<h2>encik</h2>"
"39","gila",0.903255813953488,"gila",1,"<h2>gila</h2>"
"40","gonecase",0.962790697674419,"gonecase",1,"<h2>gonecase</h2>"
"41","goondu",0.924651162790698,"goondu",1,"<h2>goondu</h2>"
"42","gostan",0.918139534883721,"gostan",1,"<h2>gostan</h2>"
"43","hantam",0.929302325581395,"hantam",1,"<h2>hantam</h2>"
"44","haolian",0.945116279069767,"haolian",1,"<h2>haolian</h2>"
"45","heckcare",0.944186046511628,"heck care",2,"<h2>heck care</h2>"
